PERIODO;PM10
2023-10-06 18;91.53
2023-10-06 19;80.24
2023-10-06 20;94.95
2023-10-06 21;138.44
2023-10-06 22;114.62
2023-10-06 23;112.36
2023-10-07 00;82.55
2023-10-07 01;82.09
2023-10-07 02;51.04
2023-10-07 03;48.51
2023-10-07 04;23.88
2023-10-07 05;18.38
2023-10-07 06;37.71
2023-10-07 07;57.74
2023-10-07 08;89.17
2023-10-07 09;145.98
2023-10-07 10;161.57
2023-10-07 11;158.95
2023-10-07 12;158.87
2023-10-07 13;142.07
2023-10-07 14;125.16
2023-10-07 15;123.22
2023-10-07 16;121.22
2023-10-07 17;123.97
2023-10-07 18;119.42
2023-10-07 19;109.95
2023-10-07 20;117.08
2023-10-07 21;83.1
2023-10-07 22;108.33
2023-10-07 23;108.06
2023-10-08 00;84.58
2023-10-08 01;71.72
2023-10-08 02;98.13
2023-10-08 03;91.14
2023-10-08 04;58.83
2023-10-08 05;49.83
2023-10-08 06;52.42
2023-10-08 07;66.92
2023-10-08 08;68.89
2023-10-08 09;91.7
2023-10-08 10;153.94
2023-10-08 11;123.52
2023-10-08 12;112.17
2023-10-08 13;138.98
2023-10-08 14;114.41
2023-10-08 15;108.05
2023-10-08 16;109.95
2023-10-08 17;117.8
2023-10-08 18;87.23
2023-10-08 19;68.97
2023-10-08 20;88.5
2023-10-08 21;106.79
2023-10-08 22;117.89
2023-10-08 23;93.17
2023-10-09 00;74.18
2023-10-09 01;55.18
2023-10-09 02;68.22
2023-10-09 03;89.2
2023-10-09 04;77.68
2023-10-09 05;131.59
2023-10-09 06;151.47
2023-10-09 07;225.22
2023-10-09 08;228.19
2023-10-09 09;187.55
2023-10-09 10;184.07
2023-10-09 11;167.62
2023-10-09 12;134.29
2023-10-09 13;120.47
2023-10-09 14;99.45
2023-10-09 15;123.43
2023-10-09 16;132.07
2023-10-09 17;137.85
2023-10-09 18;115.25
2023-10-09 19;102.91
2023-10-09 20;95.05
2023-10-09 21;89.01
2023-10-09 22;75
2023-10-09 23;57.39
2023-10-10 00;78.6
2023-10-10 01;58.66
2023-10-10 02;50.46
2023-10-10 03;41.48
2023-10-10 04;29.71
2023-10-10 05;50.07
2023-10-10 06;65.6
2023-10-10 07;145.57
2023-10-10 08;118.62
2023-10-10 09;152.53
2023-10-10 10;201.57
2023-10-10 11;158.75
2023-10-10 12;180.48
2023-10-10 13;140.18
2023-10-10 14;147.92
2023-10-10 15;130.48
2023-10-10 16;117.33
2023-10-10 17;78.3
2023-10-10 18;143.85
2023-10-10 19;101.91
2023-10-10 20;85.73
2023-10-10 21;138.97
2023-10-10 22;97.62
2023-10-10 23;76.26
2023-10-11 00;89.03
2023-10-11 01;106.93
2023-10-11 02;64.39
2023-10-11 03;116.47
2023-10-11 04;92.58
2023-10-11 05;106.85
2023-10-11 06;143.32
2023-10-11 07;161.98
2023-10-11 08;226.12
2023-10-11 09;171.45
2023-10-11 10;
2023-10-11 11;
2023-10-11 12;136.07
2023-10-11 13;131.98
2023-10-11 14;115.38
2023-10-11 15;123.4
2023-10-11 16;118.8
2023-10-11 17;89.63
2023-10-11 18;75.88
2023-10-11 19;107.31
2023-10-11 20;85.13
2023-10-11 21;122.54
2023-10-11 22;73.4
2023-10-11 23;106.07
2023-10-12 00;99.37
2023-10-12 01;130.89
2023-10-12 02;101.55
2023-10-12 03;120.64
2023-10-12 04;143.28
2023-10-12 05;92.85
2023-10-12 06;135.89
2023-10-12 07;177.41
2023-10-12 08;167.07
2023-10-12 09;196.91
2023-10-12 10;176.14
2023-10-12 11;173.48
2023-10-12 12;165.72
2023-10-12 13;148
2023-10-12 14;135.02
2023-10-12 15;114.9
2023-10-12 16;121.34
2023-10-12 17;122.57
2023-10-12 18;100.92
2023-10-12 19;86.64
2023-10-12 20;101.8
2023-10-12 21;93.46
2023-10-12 22;104.58
2023-10-12 23;120.75
2023-10-13 00;69.41
2023-10-13 01;73.78
2023-10-13 02;114
2023-10-13 03;144.87
2023-10-13 04;166.87
2023-10-13 05;229.78
2023-10-13 06;288.89
2023-10-13 07;219.5
2023-10-13 08;153.25
2023-10-13 09;143.07
2023-10-13 10;128.99
2023-10-13 11;126.76
2023-10-13 12;155.93
2023-10-13 13;167.29
2023-10-13 14;128.73
2023-10-13 15;108.96
2023-10-13 16;123.87
2023-10-13 17;126.38
2023-10-13 18;90.9
2023-10-13 19;75.78
2023-10-13 20;67.74
2023-10-13 21;89.03
2023-10-13 22;110.62
2023-10-13 23;121.48
2023-10-14 00;110.33
2023-10-14 01;64.29
2023-10-14 02;71.66
2023-10-14 03;83.89
2023-10-14 04;91.58
2023-10-14 05;91.95
2023-10-14 06;115.12
2023-10-14 07;187.53
2023-10-14 08;205.84
2023-10-14 09;139.52
2023-10-14 10;118.7
2023-10-14 11;140.67
2023-10-14 12;116.8
2023-10-14 13;99.31
2023-10-14 14;96.36
2023-10-14 15;80
2023-10-14 16;88.1
2023-10-14 17;104.26
2023-10-14 18;87.35
2023-10-14 19;96.38
2023-10-14 20;92.82
2023-10-14 21;93.91
2023-10-14 22;80.04
2023-10-14 23;87.15
2023-10-15 00;71.89
2023-10-15 01;107.36
2023-10-15 02;60.87
2023-10-15 03;40.38
2023-10-15 04;70.53
2023-10-15 05;78.76
2023-10-15 06;125.08
2023-10-15 07;161.42
2023-10-15 08;174.04
2023-10-15 09;131.79
2023-10-15 10;121.52
2023-10-15 11;111.21
2023-10-15 12;112.39
2023-10-15 13;111.07
2023-10-15 14;98.72
2023-10-15 15;89.45
2023-10-15 16;95.83
2023-10-15 17;96.08
2023-10-15 18;73.47
2023-10-15 19;99.33
2023-10-15 20;80.18
2023-10-15 21;81.95
2023-10-15 22;81.12
2023-10-15 23;88.08
2023-10-16 00;84.53
2023-10-16 01;94.79
2023-10-16 02;102.88
2023-10-16 03;88.7
2023-10-16 04;79.81
2023-10-16 05;104.46
2023-10-16 06;110.72
2023-10-16 07;107.15
2023-10-16 08;107.65
2023-10-16 09;152.47
2023-10-16 10;123.22
2023-10-16 11;107.67
2023-10-16 12;99.21
2023-10-16 13;87.76
2023-10-16 14;73.44
2023-10-16 15;82.13
2023-10-16 16;81.97
2023-10-16 17;84.92
2023-10-16 18;77.92
2023-10-16 19;63.52
2023-10-16 20;64.55
2023-10-16 21;76.8
2023-10-16 22;76.27
2023-10-16 23;89.84
2023-10-17 00;75.03
2023-10-17 01;77.93
2023-10-17 02;67.03
2023-10-17 03;52.39
2023-10-17 04;48.9
2023-10-17 05;64.09
2023-10-17 06;70.29
2023-10-17 07;70.94
2023-10-17 08;102.7
2023-10-17 09;116.4
2023-10-17 10;104.19
2023-10-17 11;105.64
2023-10-17 12;102.22
2023-10-17 13;96.32
2023-10-17 14;84.91
2023-10-17 15;95.25
2023-10-17 16;98.98
2023-10-17 17;85.68
2023-10-17 18;93.37
2023-10-17 19;79.51
2023-10-17 20;49.03
2023-10-17 21;77.19
2023-10-17 22;66.8
2023-10-17 23;55.35
2023-10-18 00;51.04
2023-10-18 01;95.91
2023-10-18 02;53.1
2023-10-18 03;24.86
2023-10-18 04;37.41
2023-10-18 05;57.13
2023-10-18 06;46.08
2023-10-18 07;34.35
2023-10-18 08;103.77
2023-10-18 09;125.95
2023-10-18 10;
2023-10-18 11;
2023-10-18 12;
2023-10-18 13;
2023-10-18 14;282.69
2023-10-18 15;241.07
2023-10-18 16;192.78
2023-10-18 17;162.24
2023-10-18 18;137.05
2023-10-18 19;145.88
2023-10-18 20;153.09
2023-10-18 21;116.98
2023-10-18 22;145.67
2023-10-18 23;219.48
2023-10-19 00;152.22
2023-10-19 01;136.65
2023-10-19 02;128.52
2023-10-19 03;101.22
2023-10-19 04;161.86
2023-10-19 05;169.8
2023-10-19 06;146.93
2023-10-19 07;140.64
2023-10-19 08;175.38
2023-10-19 09;143.82
2023-10-19 10;180.17
2023-10-19 11;192.75
2023-10-19 12;205.11
2023-10-19 13;196.11
2023-10-19 14;148.43
2023-10-19 15;232.18
2023-10-19 16;239.88
2023-10-19 17;141.52
2023-10-19 18;123.51
2023-10-19 19;138.28
2023-10-19 20;155.59
2023-10-19 21;143.58
2023-10-19 22;151.05
2023-10-19 23;154.88
2023-10-20 00;166.92
2023-10-20 01;152.22
2023-10-20 02;118.14
2023-10-20 03;75.93
2023-10-20 04;45.58
2023-10-20 05;73.83
2023-10-20 06;69.37
2023-10-20 07;70.99
2023-10-20 08;82.77
2023-10-20 09;122.9
2023-10-20 10;137.23
2023-10-20 11;127.02
2023-10-20 12;139.05
2023-10-20 13;140.21
2023-10-20 14;155.79
2023-10-20 15;188.74
2023-10-20 16;176.53
2023-10-20 17;178.49
2023-10-20 18;196.93
2023-10-20 19;164.52
2023-10-20 20;115.92
2023-10-20 21;119.18
2023-10-20 22;140.61
2023-10-20 23;110.39
2023-10-21 00;126.62
2023-10-21 01;122.42
2023-10-21 02;112.77
2023-10-21 03;113.99
2023-10-21 04;42.33
2023-10-21 05;63.07
2023-10-21 06;82.19
2023-10-21 07;149.11
2023-10-21 08;215.55
2023-10-21 09;200.81
2023-10-21 10;202.03
2023-10-21 11;219.69
2023-10-21 12;212.37
2023-10-21 13;163.72
2023-10-21 14;382.22
2023-10-21 15;266.7
2023-10-21 16;127.69
2023-10-21 17;130.52
2023-10-21 18;125.95
2023-10-21 19;169.18
2023-10-21 20;156.25
2023-10-21 21;137.78
2023-10-21 22;184.7
2023-10-21 23;147.15
2023-10-22 00;182.22
2023-10-22 01;139.6
2023-10-22 02;133.09
2023-10-22 03;84.7
2023-10-22 04;57.24
2023-10-22 05;63.43
2023-10-22 06;46.24
2023-10-22 07;73.3
2023-10-22 08;102.26
2023-10-22 09;126.66
2023-10-22 10;124.38
2023-10-22 11;126.76
2023-10-22 12;129.99
2023-10-22 13;105.8
2023-10-22 14;96.03
2023-10-22 15;82.36
2023-10-22 16;93.22
2023-10-22 17;109.69
2023-10-22 18;109.53
2023-10-22 19;115.83
2023-10-22 20;123.75
2023-10-22 21;112.91
2023-10-22 22;122.97
2023-10-22 23;122.05
2023-10-23 00;141.43
2023-10-23 01;110.31
2023-10-23 02;116.43
2023-10-23 03;136.51
2023-10-23 04;175.81
2023-10-23 05;190.47
2023-10-23 06;212.32
2023-10-23 07;266.13
2023-10-23 08;318.34
2023-10-23 09;297.51
2023-10-23 10;292.88
2023-10-23 11;284.48
2023-10-23 12;236.5
2023-10-23 13;262.9
2023-10-23 14;230.46
2023-10-23 15;219.62
