Nro;PERIODO;PM10
397;2023-07-18 12;45.55
398;2023-07-18 13;46.08
399;2023-07-18 14;46.3
400;2023-07-18 15;47.55
401;2023-07-18 16;60.43
402;2023-07-18 17;51.31
403;2023-07-18 18;35.1
404;2023-07-18 19;25.34
405;2023-07-18 20;22.9
406;2023-07-18 21;19.66
407;2023-07-18 22;21.56
408;2023-07-18 23;23.51
409;2023-07-19 00;20.93
410;2023-07-19 01;25.73
411;2023-07-19 02;34.8
412;2023-07-19 03;40.33
413;2023-07-19 04;40.95
414;2023-07-19 05;42.57
415;2023-07-19 06;41.73
416;2023-07-19 07;42.09
417;2023-07-19 08;40.17
418;2023-07-19 09;37.47
419;2023-07-19 10;40.44
420;2023-07-19 11;40.07
421;2023-07-19 12;50.45
422;2023-07-19 13;56.2
423;2023-07-19 14;70.28
424;2023-07-19 15;72.46
425;2023-07-19 16;62.19
426;2023-07-19 17;51.09
427;2023-07-19 18;33.59
428;2023-07-19 19;27.54
429;2023-07-19 20;26.29
430;2023-07-19 21;23.21
431;2023-07-19 22;21.53
432;2023-07-19 23;29.86
433;2023-07-20 00;30.06
434;2023-07-20 01;33.47
435;2023-07-20 02;34.19
436;2023-07-20 03;39.3
437;2023-07-20 04;43.99
438;2023-07-20 05;52.78
439;2023-07-20 06;43.34
440;2023-07-20 07;42.1
441;2023-07-20 08;47.42
442;2023-07-20 09;37.28
443;2023-07-20 10;35.36
444;2023-07-20 11;42.55
445;2023-07-20 12;50.66
446;2023-07-20 13;58.19
447;2023-07-20 14;67.9
448;2023-07-20 15;75.24
449;2023-07-20 16;73.93
450;2023-07-20 17;41.41
451;2023-07-20 18;35.72
452;2023-07-20 19;30.03
453;2023-07-20 20;32.11
454;2023-07-20 21;30.56
455;2023-07-20 22;34.54
456;2023-07-20 23;32.73
457;2023-07-21 00;27.33
458;2023-07-21 01;30.55
459;2023-07-21 02;40.31
460;2023-07-21 03;44.65
461;2023-07-21 04;38.75
462;2023-07-21 05;49.45
463;2023-07-21 06;38.05
464;2023-07-21 07;40.22
465;2023-07-21 08;27.99
466;2023-07-21 09;31.7
467;2023-07-21 10;30.83
468;2023-07-21 11;29.13
469;2023-07-21 12;29.25
470;2023-07-21 13;46.59
471;2023-07-21 14;63.93
472;2023-07-21 15;77.26
473;2023-07-21 16;51.46
474;2023-07-21 17;44.16
475;2023-07-21 18;39.09
476;2023-07-21 19;30.78
477;2023-07-21 20;29.68
478;2023-07-21 21;30.38
479;2023-07-21 22;31.98
480;2023-07-21 23;33.86
481;2023-07-22 00;37.54
482;2023-07-22 01;38.1
483;2023-07-22 02;43.97
484;2023-07-22 03;40.54
485;2023-07-22 04;33.75
486;2023-07-22 05;31.31
487;2023-07-22 06;29.08
488;2023-07-22 07;
489;2023-07-22 08;
490;2023-07-22 09;
491;2023-07-22 10;
492;2023-07-22 11;
493;2023-07-22 12;
494;2023-07-22 13;
495;2023-07-22 14;
496;2023-07-22 15;
497;2023-07-22 16;
498;2023-07-22 17;
499;2023-07-22 18;
500;2023-07-22 19;
501;2023-07-22 20;
502;2023-07-22 21;
503;2023-07-22 22;
504;2023-07-22 23;
505;2023-07-23 00;
506;2023-07-23 01;
507;2023-07-23 02;
508;2023-07-23 03;
509;2023-07-23 04;
510;2023-07-23 05;
511;2023-07-23 06;
512;2023-07-23 07;
513;2023-07-23 08;
514;2023-07-23 09;
515;2023-07-23 10;
516;2023-07-23 11;
517;2023-07-23 12;
518;2023-07-23 13;
519;2023-07-23 14;
520;2023-07-23 15;
521;2023-07-23 16;
522;2023-07-23 17;
523;2023-07-23 18;
524;2023-07-23 19;
525;2023-07-23 20;
526;2023-07-23 21;
527;2023-07-23 22;
528;2023-07-23 23;
529;2023-07-24 00;
530;2023-07-24 01;
531;2023-07-24 02;
532;2023-07-24 03;
533;2023-07-24 04;
534;2023-07-24 05;
535;2023-07-24 06;
536;2023-07-24 07;
537;2023-07-24 08;
538;2023-07-24 09;
539;2023-07-24 10;
540;2023-07-24 11;
541;2023-07-24 12;
542;2023-07-24 13;
543;2023-07-24 14;
544;2023-07-24 15;
545;2023-07-24 16;
546;2023-07-24 17;
547;2023-07-24 18;
548;2023-07-24 19;
549;2023-07-24 20;
550;2023-07-24 21;
551;2023-07-24 22;32.68
552;2023-07-24 23;29.72
553;2023-07-25 00;31.08
554;2023-07-25 01;30.41
555;2023-07-25 02;29.67
556;2023-07-25 03;31.44
557;2023-07-25 04;35.66
558;2023-07-25 05;35.79
559;2023-07-25 06;39.25
560;2023-07-25 07;46.19
561;2023-07-25 08;40.72
562;2023-07-25 09;31.01
563;2023-07-25 10;28.33
564;2023-07-25 11;26.09
565;2023-07-25 12;23.38
566;2023-07-25 13;26.86
567;2023-07-25 14;25.06
568;2023-07-25 15;27.36
569;2023-07-25 16;29.66
570;2023-07-25 17;21.41
571;2023-07-25 18;24.08
572;2023-07-25 19;23.67
573;2023-07-25 20;29.01
574;2023-07-25 21;21.6
575;2023-07-25 22;17.71
576;2023-07-25 23;16.45
577;2023-07-26 00;26.31
578;2023-07-26 01;23.52
579;2023-07-26 02;28
580;2023-07-26 03;29.64
581;2023-07-26 04;26.63
582;2023-07-26 05;26.51
583;2023-07-26 06;20.05
584;2023-07-26 07;15.91
585;2023-07-26 08;17.41
586;2023-07-26 09;15.72
587;2023-07-26 10;15.1
588;2023-07-26 11;15.12
589;2023-07-26 12;16.89
590;2023-07-26 13;21.14
591;2023-07-26 14;24.82
592;2023-07-26 15;27.21
593;2023-07-26 16;27.61
594;2023-07-26 17;25.81
595;2023-07-26 18;31.92
596;2023-07-26 19;32.54
597;2023-07-26 20;29.5
598;2023-07-26 21;31.64
599;2023-07-26 22;29.88
600;2023-07-26 23;32.43
601;2023-07-27 00;32.88
602;2023-07-27 01;22.64
603;2023-07-27 02;19.64
604;2023-07-27 03;
605;2023-07-27 04;
606;2023-07-27 05;
607;2023-07-27 06;
608;2023-07-27 07;
609;2023-07-27 08;
610;2023-07-27 09;
611;2023-07-27 10;
612;2023-07-27 11;
613;2023-07-27 12;
614;2023-07-27 13;
615;2023-07-27 14;
616;2023-07-27 15;
617;2023-07-27 16;
618;2023-07-27 17;
619;2023-07-27 18;
620;2023-07-27 19;
621;2023-07-27 20;
622;2023-07-27 21;
623;2023-07-27 22;
624;2023-07-27 23;
625;2023-07-28 00;
626;2023-07-28 01;
627;2023-07-28 02;
628;2023-07-28 03;
629;2023-07-28 04;
630;2023-07-28 05;
631;2023-07-28 06;
632;2023-07-28 07;
633;2023-07-28 08;
634;2023-07-28 09;
635;2023-07-28 10;
636;2023-07-28 11;
637;2023-07-28 12;
638;2023-07-28 13;
639;2023-07-28 14;
640;2023-07-28 15;
641;2023-07-28 16;
642;2023-07-28 17;
643;2023-07-28 18;
644;2023-07-28 19;
645;2023-07-28 20;
646;2023-07-28 21;
647;2023-07-28 22;
648;2023-07-28 23;
649;2023-07-29 00;
650;2023-07-29 01;
651;2023-07-29 02;
652;2023-07-29 03;
653;2023-07-29 04;
654;2023-07-29 05;
655;2023-07-29 06;
656;2023-07-29 07;
657;2023-07-29 08;
658;2023-07-29 09;
659;2023-07-29 10;
660;2023-07-29 11;
661;2023-07-29 12;
662;2023-07-29 13;
663;2023-07-29 14;
664;2023-07-29 15;
665;2023-07-29 16;
666;2023-07-29 17;
667;2023-07-29 18;
668;2023-07-29 19;
669;2023-07-29 20;
670;2023-07-29 21;
671;2023-07-29 22;
672;2023-07-29 23;
673;2023-07-30 00;
674;2023-07-30 01;
675;2023-07-30 02;
676;2023-07-30 03;
677;2023-07-30 04;
678;2023-07-30 05;
679;2023-07-30 06;
680;2023-07-30 07;
681;2023-07-30 08;
682;2023-07-30 09;
683;2023-07-30 10;
684;2023-07-30 11;
685;2023-07-30 12;
686;2023-07-30 13;
